"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DELTACORP","EQ","17-Sep-2018","        269.10","        267.00","        267.05","        257.30","        258.50","        258.95","        260.77","    1549220","           403982720.40","      16222","     503639","         32.51"
"DELTACORP","EQ","18-Sep-2018","        258.95","        259.45","        260.10","        240.00","        242.00","        241.90","        250.48","    1735837","           434797440.10","      25110","     787594","         45.37"
"DELTACORP","EQ","19-Sep-2018","        241.90","        244.10","        246.70","        240.30","        243.05","        242.50","        243.72","    1146653","           279456951.40","      13011","     257434","         22.45"
"DELTACORP","EQ","21-Sep-2018","        242.50","        246.00","        248.65","        218.65","        229.50","        228.25","        236.26","    2455916","           580243983.90","      20810","     871499","         35.49"
"DELTACORP","EQ","24-Sep-2018","        228.25","        231.80","        231.95","        214.00","        219.00","        216.65","        221.85","    1449627","           321601296.95","      17350","     535183","         36.92"
"DELTACORP","EQ","25-Sep-2018","        216.65","        216.50","        222.30","        209.05","        215.10","        215.85","        214.99","    1734939","           372988036.00","      19828","     470339","         27.11"
"DELTACORP","EQ","26-Sep-2018","        215.85","        218.40","        224.40","        217.20","        218.60","        219.10","        220.11","    1606904","           353687853.55","      25937","     401058","         24.96"
"DELTACORP","EQ","27-Sep-2018","        219.10","        219.50","        226.00","        219.00","        224.50","        222.55","        223.04","    1574183","           351112558.00","      19956","     632693","         40.19"
"DELTACORP","EQ","28-Sep-2018","        222.55","        225.00","        225.30","        204.50","        205.00","        209.60","        214.20","    1878187","           402304592.50","      33022","     668757","         35.61"
"DELTACORP","EQ","01-Oct-2018","        209.60","        207.60","        214.90","        201.00","        212.70","        212.70","        207.59","    2402209","           498669251.30","      34924","     836267","         34.81"
"DELTACORP","EQ","03-Oct-2018","        212.70","        210.50","        220.95","        208.40","        215.70","        216.15","        217.10","    1088665","           236350494.75","      19645","     278959","         25.62"
"DELTACORP","EQ","04-Oct-2018","        216.15","        210.00","        215.40","        206.00","        206.50","        208.80","        210.21","     944698","           198587719.45","      10054","     277253","         29.35"
"DELTACORP","EQ","05-Oct-2018","        208.80","        211.80","        220.75","        201.00","        202.40","        207.65","        213.78","    1593130","           340573852.60","      19796","     439930","         27.61"
"DELTACORP","EQ","08-Oct-2018","        207.65","        205.00","        211.90","        199.25","        206.70","        206.70","        205.90","    1639735","           337625219.40","      18784","     457570","         27.91"
"DELTACORP","EQ","09-Oct-2018","        206.70","        208.40","        211.60","        206.40","        208.80","        208.80","        208.98","    1119648","           233981610.95","      10980","     285706","         25.52"
"DELTACORP","EQ","10-Oct-2018","        208.80","        211.00","        220.30","        211.00","        218.00","        217.35","        217.11","    1455467","           315998867.50","      15045","     471901","         32.42"
"DELTACORP","EQ","11-Oct-2018","        217.35","        205.00","        215.20","        204.00","        211.00","        210.90","        211.16","    1063690","           224603545.55","      11664","     228265","         21.46"
"DELTACORP","EQ","12-Oct-2018","        210.90","        214.90","        222.00","        213.60","        220.70","        220.55","        219.74","    1345132","           295580183.25","      12255","     434097","         32.27"
"DELTACORP","EQ","15-Oct-2018","        220.55","        222.00","        228.00","        221.00","        227.50","        226.45","        225.09","    1877616","           422640487.60","      15404","     639437","         34.06"
"DELTACORP","EQ","16-Oct-2018","        226.45","        238.10","        245.00","        235.00","        238.60","        239.25","        240.27","    6170879","          1482665522.45","      60921","    1093769","         17.72"
"DELTACORP","EQ","17-Oct-2018","        239.25","        242.10","        247.00","        224.50","        225.05","        226.55","        238.09","    4243171","          1010274446.90","      45111","    1290646","         30.42"
"DELTACORP","EQ","19-Oct-2018","        226.55","        222.20","        228.50","        219.00","        228.00","        225.35","        223.96","    1507888","           337700333.25","      15437","     336336","         22.31"
"DELTACORP","EQ","22-Oct-2018","        225.35","        229.40","        229.90","        218.00","        219.85","        220.00","        223.49","     931435","           208165940.50","      11956","     243834","         26.18"
"DELTACORP","EQ","23-Oct-2018","        220.00","        217.90","        222.80","        208.30","        209.50","        209.15","        214.17","    1369396","           293281852.95","      16855","     523059","         38.20"
"DELTACORP","EQ","24-Oct-2018","        209.15","        213.90","        217.45","        207.30","        216.00","        214.90","        212.11","    1443266","           306131821.90","      20714","     472081","         32.71"
"DELTACORP","EQ","25-Oct-2018","        214.90","        210.10","        215.35","        209.10","        214.50","        213.25","        212.31","     960187","           203854945.80","      15724","     260909","         27.17"
"DELTACORP","EQ","26-Oct-2018","        213.25","        212.00","        224.50","        210.05","        224.00","        222.60","        218.64","    1616495","           353433788.95","      24960","     561961","         34.76"
"DELTACORP","EQ","29-Oct-2018","        222.60","        224.80","        230.80","        222.00","        230.10","        229.95","        227.22","    1210427","           275034112.70","      13509","     352784","         29.15"
"DELTACORP","EQ","30-Oct-2018","        229.95","        230.50","        236.40","        228.50","        235.10","        235.05","        233.37","    1166499","           272220539.75","      35985","     307248","         26.34"
"DELTACORP","EQ","31-Oct-2018","        235.05","        235.05","        238.70","        228.60","        235.00","        236.25","        234.19","    1213551","           284207095.85","      12558","     224855","         18.53"
"DELTACORP","EQ","01-Nov-2018","        236.25","        237.00","        242.90","        236.40","        241.25","        241.00","        240.31","    1320941","           317432096.75","      29112","     456125","         34.53"
"DELTACORP","EQ","02-Nov-2018","        241.00","        246.30","        252.65","        246.00","        251.20","        248.75","        249.02","    2221438","           553172105.75","      29811","     837544","         37.70"
"DELTACORP","EQ","05-Nov-2018","        248.75","        249.40","        253.50","        241.05","        246.50","        246.50","        248.41","    1347203","           334663438.50","      16287","     576086","         42.76"
"DELTACORP","EQ","06-Nov-2018","        246.50","        247.65","        248.80","        241.00","        245.00","        245.00","        244.50","     824772","           201659330.55","      28715","     234104","         28.38"
"DELTACORP","EQ","07-Nov-2018","        245.00","        246.80","        248.00","        245.85","        246.00","        246.35","        246.66","     265092","            65386521.05","       2970","     131831","         49.73"
"DELTACORP","EQ","09-Nov-2018","        246.35","        245.00","        245.85","        236.50","        239.45","        239.45","        240.67","     887296","           213543303.40","       8666","     304428","         34.31"
"DELTACORP","EQ","12-Nov-2018","        239.45","        240.10","        244.25","        233.05","        235.00","        234.40","        237.86","     750487","           178513993.40","       8378","     260022","         34.65"
"DELTACORP","EQ","13-Nov-2018","        234.40","        232.80","        243.30","        232.10","        239.70","        239.80","        239.82","    2159456","           517877329.40","      30448","     731435","         33.87"
"DELTACORP","EQ","14-Nov-2018","        239.80","        241.00","        246.30","        237.10","        241.60","        241.00","        242.45","    1515395","           367404803.80","      14797","     429438","         28.34"
"DELTACORP","EQ","15-Nov-2018","        241.00","        242.15","        242.90","        237.00","        239.00","        238.90","        239.74","     615983","           147677442.65","       8394","     138296","         22.45"
"DELTACORP","EQ","16-Nov-2018","        238.90","        239.00","        243.40","        236.50","        238.75","        239.35","        239.82","     642786","           154152912.30","       6630","     173297","         26.96"
"DELTACORP","EQ","19-Nov-2018","        239.35","        239.95","        243.40","        238.25","        239.95","        239.50","        240.17","     475121","           114110564.25","       5668","     126623","         26.65"
"DELTACORP","EQ","20-Nov-2018","        239.50","        236.50","        242.90","        236.50","        240.90","        241.05","        239.99","     778697","           186882087.80","      13002","     241813","         31.05"
"DELTACORP","EQ","21-Nov-2018","        241.05","        242.00","        249.45","        241.30","        247.00","        247.85","        246.97","    2647139","           653759463.00","      25699","     566493","         21.40"
"DELTACORP","EQ","22-Nov-2018","        247.85","        248.50","        248.70","        239.00","        239.60","        240.00","        243.35","     869431","           211579645.50","      10003","     293831","         33.80"
"DELTACORP","EQ","26-Nov-2018","        240.00","        239.60","        241.40","        236.50","        238.60","        239.60","        239.23","     602829","           144215981.95","       6960","     154679","         25.66"
"DELTACORP","EQ","27-Nov-2018","        239.60","        237.00","        242.35","        237.00","        238.90","        238.90","        239.74","     458202","           109848586.00","       5997","     109953","         24.00"
"DELTACORP","EQ","28-Nov-2018","        238.90","        239.05","        242.50","        232.00","        233.30","        233.45","        236.36","     673557","           159200579.25","       7395","     258095","         38.32"
"DELTACORP","EQ","29-Nov-2018","        233.45","        234.70","        239.50","        230.75","        238.05","        237.35","        235.59","     883215","           208078408.15","       8506","     275642","         31.21"
"DELTACORP","EQ","30-Nov-2018","        237.35","        237.90","        242.00","        235.60","        238.40","        239.20","        238.79","     638645","           152499801.00","       8183","     189190","         29.62"
"DELTACORP","EQ","03-Dec-2018","        239.20","        240.50","        240.95","        236.10","        236.10","        236.85","        237.64","     493535","           117283380.30","       6853","     160185","         32.46"
"DELTACORP","EQ","04-Dec-2018","        236.85","        236.00","        240.20","        235.00","        235.50","        236.20","        237.58","     557324","           132410066.75","       7915","     137069","         24.59"
"DELTACORP","EQ","05-Dec-2018","        236.20","        233.00","        237.85","        232.60","        237.00","        235.95","        235.92","     673145","           158811577.55","       7960","     247283","         36.74"
"DELTACORP","EQ","06-Dec-2018","        235.95","        233.00","        238.50","        232.00","        237.30","        236.20","        235.71","     722318","           170256222.75","      11242","     219819","         30.43"
"DELTACORP","EQ","07-Dec-2018","        236.20","        238.70","        240.70","        236.30","        238.20","        238.65","        239.13","     570029","           136312580.95","      10634","     212919","         37.35"
"DELTACORP","EQ","10-Dec-2018","        238.65","        232.00","        235.35","        227.55","        228.00","        228.75","        232.36","     553471","           128602967.25","       8731","     218988","         39.57"
"DELTACORP","EQ","11-Dec-2018","        228.75","        225.00","        236.50","        225.00","        234.60","        234.60","        232.55","     643449","           149636744.25","      12745","     129567","         20.14"
"DELTACORP","EQ","12-Dec-2018","        234.60","        235.30","        245.00","        235.00","        241.70","        241.50","        241.13","     879130","           211983967.85","      11189","     289117","         32.89"
"DELTACORP","EQ","13-Dec-2018","        241.50","        242.00","        248.90","        240.00","        245.90","        245.60","        245.15","    1652886","           405205238.50","      13995","     509354","         30.82"
"DELTACORP","EQ","14-Dec-2018","        245.60","        246.00","        248.40","        240.05","        240.90","        242.05","        243.60","    1183533","           288312197.15","      17160","     296302","         25.04"
"DELTACORP","EQ","17-Dec-2018","        242.05","        242.05","        245.90","        242.05","        244.90","        244.75","        244.07","     808736","           197388183.20","      10883","     304072","         37.60"
"DELTACORP","EQ","18-Dec-2018","        244.75","        244.80","        258.85","        243.10","        258.40","        257.05","        252.60","    2986090","           754295707.00","      32518","     945582","         31.67"
"DELTACORP","EQ","19-Dec-2018","        257.05","        259.70","        261.90","        253.10","        255.00","        255.25","        258.28","    1863763","           481377361.60","      24933","     624298","         33.50"
"DELTACORP","EQ","20-Dec-2018","        255.25","        254.00","        256.50","        251.30","        254.30","        255.20","        254.75","    1128253","           287422041.05","      22755","     384495","         34.08"
"DELTACORP","EQ","21-Dec-2018","        255.20","        256.00","        257.10","        248.15","        249.40","        249.25","        251.97","    1123410","           283060011.40","      20083","     421676","         37.54"
"DELTACORP","EQ","24-Dec-2018","        249.25","        250.00","        250.40","        244.25","        246.65","        246.75","        247.16","     644673","           159339711.00","       7469","     149246","         23.15"
"DELTACORP","EQ","26-Dec-2018","        246.75","        245.25","        245.25","        239.00","        242.20","        242.75","        242.12","     751123","           181863231.95","       8669","     225742","         30.05"
"DELTACORP","EQ","27-Dec-2018","        242.75","        243.75","        246.00","        242.50","        243.50","        243.95","        244.36","     656863","           160509430.00","       8553","     195012","         29.69"
"DELTACORP","EQ","28-Dec-2018","        243.95","        244.55","        252.30","        241.75","        252.00","        250.65","        248.31","    1687037","           418901223.25","      21103","     523709","         31.04"
"DELTACORP","EQ","31-Dec-2018","        250.65","        253.60","        257.55","        250.85","        253.10","        253.60","        253.93","    1914223","           486079872.90","      16155","     420871","         21.99"
