"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDEA","EQ","17-Sep-2018","         46.35","         46.20","         48.50","         45.65","         47.70","         47.70","         47.26","   20240557","           956485372.25","      35223","    3374915","         16.67"
"IDEA","EQ","18-Sep-2018","         47.70","         48.35","         48.45","         46.05","         46.25","         46.25","         46.96","   15841783","           743925131.00","      42247","    4148544","         26.19"
"IDEA","EQ","19-Sep-2018","         46.25","         46.50","         47.05","         45.05","         45.40","         45.75","         46.21","   12093119","           558840299.25","      25640","    2688625","         22.23"
"IDEA","EQ","21-Sep-2018","         45.75","         45.95","         46.25","         41.20","         45.20","         45.45","         44.55","   52394330","          2334091013.90","      62222","   27433991","         52.36"
"IDEA","EQ","24-Sep-2018","         45.45","         44.20","         44.70","         41.35","         41.55","         42.15","         42.86","   21376618","           916108307.05","      43789","    6530665","         30.55"
"IDEA","EQ","25-Sep-2018","         42.15","         41.50","         41.80","         39.50","         40.60","         40.50","         40.68","   25174254","          1024080573.85","      50831","    7044852","         27.98"
"IDEA","EQ","26-Sep-2018","         40.50","         41.20","         41.80","         40.20","         41.50","         41.45","         41.05","   18000078","           738955684.35","      35594","    3742707","         20.79"
"IDEA","EQ","27-Sep-2018","         41.45","         41.45","         41.45","         38.35","         38.65","         38.50","         39.38","   30218601","          1189989729.30","      44555","   12993668","         43.00"
"IDEA","EQ","28-Sep-2018","         38.50","         38.50","         39.00","         36.35","         38.85","         38.55","         37.95","   26854355","          1019186551.15","      43944","    8420477","         31.36"
"IDEA","EQ","01-Oct-2018","         38.55","         38.75","         39.05","         37.45","         38.75","         38.75","         38.25","   18758793","           717561028.50","      33677","    5905833","         31.48"
"IDEA","EQ","03-Oct-2018","         38.75","         38.00","         39.20","         36.50","         36.75","         36.70","         37.64","   30690251","          1155038840.55","      45704","   13273008","         43.25"
"IDEA","EQ","04-Oct-2018","         36.70","         36.00","         37.05","         33.10","         33.60","         33.80","         34.83","   33992921","          1183817124.55","      53517","   11621683","         34.19"
"IDEA","EQ","05-Oct-2018","         33.80","         33.85","         34.60","         32.95","         33.60","         33.55","         33.76","   36202967","          1222062402.05","      45612","   12847335","         35.49"
"IDEA","EQ","08-Oct-2018","         33.55","         33.85","         34.25","         32.55","         33.90","         33.65","         33.52","   22218648","           744719233.25","      46771","    4923479","         22.16"
"IDEA","EQ","09-Oct-2018","         33.65","         33.95","         35.10","         33.45","         34.40","         34.45","         34.21","   19426780","           664659019.50","      39861","    4997320","         25.72"
"IDEA","EQ","10-Oct-2018","         34.45","         34.25","         36.45","         33.05","         35.70","         36.05","         34.99","   29046622","          1016221446.45","      55568","    7941290","         27.34"
"IDEA","EQ","11-Oct-2018","         36.05","         33.80","         35.25","         33.40","         34.60","         34.55","         34.54","   15801861","           545726300.40","      36933","    3603670","         22.81"
"IDEA","EQ","12-Oct-2018","         34.55","         35.00","         36.50","         34.95","         36.00","         35.95","         35.91","   14907369","           535284933.10","      25468","    1812436","         12.16"
"IDEA","EQ","15-Oct-2018","         35.95","         36.40","         37.35","         35.80","         36.75","         36.75","         36.70","   14071857","           516468730.00","      23839","    2850939","         20.26"
"IDEA","EQ","16-Oct-2018","         36.75","         36.70","         37.45","         36.35","         37.30","         37.00","         36.84","    9779044","           360219348.55","      15989","    2245317","         22.96"
"IDEA","EQ","17-Oct-2018","         37.00","         37.30","         38.00","         36.85","         38.00","         37.80","         37.43","   12518731","           468522199.45","      20984","    2081340","         16.63"
"IDEA","EQ","19-Oct-2018","         37.80","         37.70","         38.55","         36.30","         36.40","         36.50","         37.58","   15938389","           599039708.20","      25135","    2971181","         18.64"
"IDEA","EQ","22-Oct-2018","         36.50","         36.70","         37.25","         34.85","         35.20","         35.15","         36.05","   18946865","           683091143.65","      25355","    2272204","         11.99"
"IDEA","EQ","23-Oct-2018","         35.15","         35.15","         35.75","         34.15","         35.55","         35.40","         34.94","   13663947","           477478823.20","      39080","    3638679","         26.63"
"IDEA","EQ","24-Oct-2018","         35.40","         35.50","         36.80","         35.20","         36.30","         36.25","         35.79","   19584877","           701021248.25","      40817","    5261507","         26.87"
"IDEA","EQ","25-Oct-2018","         36.25","         36.10","         38.25","         34.50","         37.15","         37.25","         36.75","   21889199","           804509959.90","      43049","    4288293","         19.59"
"IDEA","EQ","26-Oct-2018","         37.25","         37.50","         37.55","         36.35","         36.95","         36.95","         36.99","   16022510","           592715715.15","      21477","    5589585","         34.89"
"IDEA","EQ","29-Oct-2018","         36.95","         37.30","         37.90","         36.45","         37.40","         37.70","         37.14","    9101853","           338005979.45","      14450","    2072785","         22.77"
"IDEA","EQ","30-Oct-2018","         37.70","         37.70","         39.35","         37.40","         39.00","         39.00","         38.51","   15890037","           611923234.55","      29413","    5273527","         33.19"
