"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANAPPURAM","EQ","17-Sep-2018","         88.10","         87.50","         87.50","         83.20","         84.65","         85.20","         84.92","    8327762","           707217420.45","      27339","    2426311","         29.14"
"MANAPPURAM","EQ","18-Sep-2018","         85.20","         86.00","         86.00","         83.50","         83.70","         83.70","         84.53","    3592704","           303705414.40","      13928","    1089158","         30.32"
"MANAPPURAM","EQ","19-Sep-2018","         83.70","         84.80","         85.70","         83.35","         83.75","         83.90","         84.42","    2570391","           216997652.95","      11271","     821536","         31.96"
"MANAPPURAM","EQ","21-Sep-2018","         83.90","         84.50","         85.50","         78.70","         81.90","         81.70","         82.49","    9134203","           753448010.25","      23252","    3899550","         42.69"
"MANAPPURAM","EQ","24-Sep-2018","         81.70","         82.55","         84.15","         76.80","         77.90","         77.70","         78.25","    6101998","           477470497.80","      26485","    2477252","         40.60"
"MANAPPURAM","EQ","25-Sep-2018","         77.70","         77.75","         79.55","         75.65","         78.60","         78.60","         77.77","    4961575","           385849778.05","      16943","    1689080","         34.04"
"MANAPPURAM","EQ","26-Sep-2018","         78.60","         79.15","         79.95","         78.05","         79.15","         79.50","         79.07","    2348101","           185652679.65","       9645","     729028","         31.05"
"MANAPPURAM","EQ","27-Sep-2018","         79.50","         80.45","         80.45","         75.05","         75.55","         75.55","         77.00","    3449612","           265631258.60","      17526","    1423670","         41.27"
"MANAPPURAM","EQ","28-Sep-2018","         75.55","         75.75","         76.35","         71.00","         72.10","         72.40","         73.42","    5111319","           375278970.30","      21375","    1502981","         29.40"
"MANAPPURAM","EQ","01-Oct-2018","         72.40","         72.50","         75.40","         68.95","         74.35","         74.50","         72.01","    5828549","           419689256.20","      20295","    1488718","         25.54"
"MANAPPURAM","EQ","03-Oct-2018","         74.50","         74.95","         77.05","         72.30","         74.70","         74.95","         75.16","    3290100","           247274399.35","      14511","     900693","         27.38"
"MANAPPURAM","EQ","04-Oct-2018","         74.95","         73.00","         75.10","         72.00","         72.90","         72.95","         73.35","    3147291","           230839088.10","      26395","     798633","         25.38"
